url_name,zh_name,platinum1,platinum2,platinum3,platinum_avg
juice,能量果汁,15,30,95
morgha_barrel,置灵者 枪管,79,125
stalking_fan,缠旋风切,8,8,8
primed_regen,重生 Prime,29,30,35
titania_prime_blueprint,Titania Prime 蓝图,8,8,9
strun_wraith_set,斯特朗·亡魂 一套,65,70,75
true_punishment,真实惩罚,5,6,6
wukong_prime_chassis_blueprint,Wukong Prime 机体 蓝图,8,9,9
supra_vandal,苏普拉·破坏者,75,79,80
zylok_prime_blueprint,席尔火枪 Prime 蓝图,8,8,9
garuda_prime_set,Garuda Prime 一套,60,70,75
akjagara_prime_receiver,觉醒双枪 Prime 枪机,5,9,9
dethcube_prime_set,死亡魔方 Prime 一套,55,69,70
hydraulic_gauge,液压弹药,150
astral_twilight,星界微光,9,9,9
orbiter_scene,轨道飞行器场景,59,85,89
cernos_prime_upper_limb,西诺斯 Prime 上弓臂,4,5,5
primed_fulmination,猛烈爆发 Prime,77,77,77
conditions_perfection,极致境地,7,9,10
primed_redirection,蓄能重划 Prime,70,70,70
corrupt_charge,邪恶蓄力,8,8,9
zylok,席尔火枪,50,50,80
corufell_receiver,闪劫 枪机,8,8,12
baza_prime_set,苍鹰 Prime 一套,70,70,75
fleeting_expertise,弹指瞬技,9,9,9
corinth_prime_set,科林斯 Prime 一套,80,85,85
harkonar_scope,哈库那瞄准镜,7,7,8
primed_smite_corpus,毁灭 Corpus Prime,70,70,80
hyperion_thrusters,超越推进,6,7,8
disciplines_merit,纪律之功,58,60,62
immolated_radiance,献祭之辉,9,10,10
helios_prime_set,赫利俄斯 Prime 一套,60,65,65
imperator_vandal_blueprint,凯旋将军·破坏者 蓝图,6,7,7
fulmination,猛烈爆发,35,50,70
innodem_blueprint,清刚 蓝图,9,9,10
khora_prime_set,Khora Prime 一套,65,69,70
limbo_prime_systems_blueprint,Limbo Prime 系统 蓝图,5,5,5
arum_spinosa_rivet,疆南星刺 铆钉,52,70,70
narrow_minded,心志偏狭,7,8,8
cinta_set,遂心 一套,73,73,74
necramech_efficiency,殁世机甲 增效,7,10,12
jugulus_spines,喉骨刃者 脊刺,80,90,94
necramech_streamline,殁世机甲 简化,9,9,10
corinth_prime_barrel,科林斯 Prime 枪管,54,54,55
nikana_prime_blueprint,侍刃 Prime 蓝图,8,9,10
prisma_ohma,棱晶·欧玛,69,69,70
nova_prime_blueprint,Nova Prime 蓝图,9,9,10
vericres,真月武扇,70,75,75
oberon_prime_chassis_blueprint,Oberon Prime 机体 蓝图,7,8,8
ballistica_prime_set,布里斯提卡 Prime 一套,55,60,65
paris_prime_set,帕里斯 Prime 一套,9,10,10
voidrig_set,虚空锐将 一套,69,70,70
